,author,book_url,book_title,book_file
0,"Dahn, Felix, 1834-1912",/ebooks/32220,A Captive of the Roman Eagles,data\32220.txt
1,"Dahn, Felix, 1834-1912",/ebooks/32222,Felicitas: A Tale of the German Migrations: A.D. 476,data\32222.txt
2,"Dahn, Felix, 1834-1912",/ebooks/32443,Saga of Halfred the Sigskald: A Northern Tale of the Tenth Century,data\32443.txt
3,"Dahn, Felix, 1834-1912",/ebooks/32461,The Scarlet Banner,data\32461.txt
4,"Dahn, Felix, 1834-1912",/ebooks/32271,"A Struggle for Rome, v. 1",data\32271.txt
5,"Dahn, Felix, 1834-1912",/ebooks/32330,"A Struggle for Rome, v. 2",data\32330.txt
6,"Dahn, Felix, 1834-1912",/ebooks/32377,"A Struggle for Rome, v. 3",data\32377.txt
7,"Waddington, Mary King, 1833-1923",/ebooks/14029,Chateau and Country Life in France,data\14029.txt
8,"Waddington, Mary King, 1833-1923",/ebooks/37953,"Italian Letters of a Diplomat's Wife: January-May, 1880; February-April, 1904",data\37953.txt
9,"Waddington, Mary King, 1833-1923",/ebooks/38825,"Letters of a Diplomat's Wife, 1883-1900",data\38825.txt
10,"Waddington, Mary King, 1833-1923",/ebooks/10003,"My First Years as a Frenchwoman, 1876-1879",data\10003.txt
11,"Tacitus, Cornelius, 56-117",/ebooks/37696,"Arguments of Celsus, Porphyry, and the Emperor Julian, Against the ChristiansAlso Extracts from Diodorus Siculus, Josephus, and Tacitus, Relating to the Jews, Together with an Appendix",data\37696.txt
12,"Tacitus, Cornelius, 56-117",/ebooks/9090,Germania and Agricola,data\9090.txt
13,"Tacitus, Cornelius, 56-117",/ebooks/7524,The Germany and the Agricola of Tacitus,data\7524.txt
14,"Tacitus, Cornelius, 56-117",/ebooks/7959,"The Reign of Tiberius, Out of the First Six Annals of Tacitus;With His Account of Germany, and Life of Agricola",data\7959.txt
15,"Tacitus, Cornelius, 56-117",/ebooks/2995,Tacitus on Germany,data\2995.txt
16,"Tacitus, Cornelius, 56-117",/ebooks/16927,"Tacitus: The Histories, Volumes I and II",data\16927.txt
17,"Gaebelein, Arno Clemens, 1861-1945",/ebooks/29557,"The Lord of GloryMeditations on the person, the work and glory of our Lord Jesus Christ",data\29557.txt
18,"Gaebelein, Arno Clemens, 1861-1945",/ebooks/36857,The Prophet Ezekiel: An Analytical Exposition,data\36857.txt
19,"Gaebelein, Arno Clemens, 1861-1945",/ebooks/31603,Studies in Prophecy,data\31603.txt
20,"Gaebelein, Arno Clemens, 1861-1945",/ebooks/36216,Studies in Zechariah,data\36216.txt
21,"Gaebelein, Arno Clemens, 1861-1945",/ebooks/26643,"The Work Of Christ: Past, Present and Future",data\26643.txt
22,"Mabie, Hamilton Wright, 1846-1916",/ebooks/16736,Books and Culture,data\16736.txt
23,"Mabie, Hamilton Wright, 1846-1916",/ebooks/6143,Essays on Work and Culture,data\6143.txt
24,"Mabie, Hamilton Wright, 1846-1916",/ebooks/4265,Heroes Every Child Should Know,data\4265.txt
25,"Mabie, Hamilton Wright, 1846-1916",/ebooks/6622,Legends That Every Child Should Know; a Selection of the Great Legends of All Times for Young People,data\6622.txt
26,"Mabie, Hamilton Wright, 1846-1916",/ebooks/44367,"The Mentor: Walter Scott, Vol. 4, Num. 15, Serial No. 115, September 15, 1916",data\44367.txt
27,"Mabie, Hamilton Wright, 1846-1916",/ebooks/19645,Under the Trees and Elsewhere,data\19645.txt
